	UD_Afrikaans	UD_Ancient_Greek-PROIEL	UD_Arabic	UD_Arabic-NYUAD	UD_Basque	UD_Belarusian	UD_Bulgarian	UD_Buryat	UD_Cantonese	UD_Catalan	UD_Chinese	UD_Chinese-CFL	UD_Chinese-HK	UD_Chinese-PUD	UD_Croatian	UD_Czech	UD_Czech-CAC	UD_Czech-CLTT	UD_Czech-FicTree	UD_Czech-PUD	UD_Danish	UD_Dutch	UD_Dutch-LassySmall	UD_English	UD_English-LinES	UD_English-PUD	UD_English-ParTUT	UD_Estonian	UD_Finnish	UD_Finnish-PUD	UD_French	UD_French-FTB	UD_French-ParTUT	UD_French-Sequoia	UD_Galician-TreeGal	UD_German	UD_German-PUD	UD_Gothic	UD_Hebrew	UD_Hindi	UD_Hindi-PUD	UD_Hungarian	UD_Italian	UD_Italian-PUD	UD_Italian-ParTUT	UD_Italian-PoSTWITA	UD_Japanese	UD_Japanese-PUD	UD_Kazakh	UD_Kurmanji	UD_Latin-ITTB	UD_Latin-PROIEL	UD_Lithuanian	UD_Marathi	UD_Naija	UD_Norwegian-Nynorsk	UD_Norwegian-NynorskLIA	UD_OldFrench-SRCMF	UD_Old_Church_Slavonic	UD_Persian	UD_Polish	UD_Portuguese	UD_Portuguese-BR	UD_Romanian	UD_Romanian-Nonstandard	UD_Russian	UD_Russian-PUD	UD_Russian-SynTagRus	UD_Serbian	UD_Slovak	UD_Slovenian	UD_Slovenian-SST	UD_Spanish	UD_Spanish-AnCora	UD_Swedish	UD_Swedish-LinES	UD_Swedish-PUD	UD_Tamil	UD_Turkish	UD_Ukrainian	UD_Upper_Sorbian	UD_Urdu	UD_Uyghur
UD_Afrikaans	0.0	0.02624927074306571	0.6643007856017474	0.04735424393952892	0.4367263147289525	0.1355069824574604	0.1653613566786738	0.178275048700004	0.2202347043016014	0.08672429701389262	0.21614545526493645	0.23507685716190796	0.2008271165862886	0.2770262989146741	0.09883804086116044	0.08782858098614887	0.10047897240758108	0.15935117899102713	0.04392119205051315	0.12601162063169258	0.19068693004538406	0.05039040330726885	0.06287816540952096	0.23683125358212553	0.22730535906116933	0.24407866108744602	0.2394289369721112	0.27960840831101696	0.3403159597201819	0.3552476191476417	0.05802657146328605	0.08033625996238947	0.057841288739990615	0.0770255148282607	0.06291929120656359	0.026238473544152097	0.015152044213212368	0.2146403083632099	0.4205963347531835	0.1946446652740358	0.17893424062328744	0.25647943771838555	0.09641323408401892	0.1652715396001212	0.13929047319091026	0.067962251883386	0.172125677092835	0.172125677092835	0.17034341692002386	0.3938661729077916	0.16784438367000576	0.13355799003300484	0.12818031131093133	0.17687693455824094	0.2524635041560156	0.22577748002420583	0.1780599978749	0.028148581613983037	0.38297315504748586	0.33933150160040293	0.19645306280203867	0.0995790876745708	0.10202453949282675	0.09046829556113889	0.21076147885781704	0.17753110675558115	0.20692410469001166	0.15454835334096406	0.14277344677827553	0.04966256306655925	0.09275478803371462	0.07691148878325771	0.07910482531055563	0.051737507229182134	0.22964238888498245	0.23379865313971715	0.24466376289933767	0.17238672113708098	0.17513194058964365	0.0937305007906084	0.11489904000987838	0.1920937045763672	0.1720250074399654
UD_Ancient_Greek-PROIEL	0.02624927074306571	0.0	0.4596457321095804	0.1363911628019968	0.36037313337175136	0.20058988634203134	0.2402251396438121	0.14154535240734223	0.18133935669609913	0.18449472247422505	0.2881846631314743	0.1870756466913608	0.2194011106531153	0.3405720537048015	0.11260062660819758	0.14803604279341886	0.15594135600127557	0.23944656228491779	0.06377995272026005	0.19002871147908618	0.2636529850028515	0.12929441841897915	0.12997161324541273	0.3050203752387033	0.2975205358084264	0.3123250572101932	0.3083031773335997	0.3396087161708633	0.3989023849636246	0.4123010854689495	0.15653760525860816	0.17300550281206983	0.15671270985554453	0.17075343357278827	0.15996726292932661	0.0544820710690096	0.029101812033916263	0.09461144321410009	0.4974925648654851	0.1500892479975089	0.14056123742730264	0.22966891925509436	0.1862860208179825	0.24450330293599565	0.22239893273692513	0.16369384043797564	0.13802373291132863	0.13802373291132863	0.13619788176150138	0.27447856998380993	0.06626509704876149	0.04388944399520511	0.21300909513371957	0.14474882540309486	0.31959279926529716	0.2964845308821843	0.25538850933665613	0.1063022768454347	0.22315654074295344	0.42276421180188295	0.09227379571404704	0.18788961380112312	0.1909431149269818	0.19173167776934608	0.2637550286010525	0.24475294242980727	0.2802394760602481	0.22784943247951672	0.14178952341744255	0.04975441438451644	0.16603440652744705	0.16074552270971065	0.1804278376856152	0.14669224442154993	0.29971057069825113	0.3032527800960432	0.3128315796388824	0.13849649537815933	0.13849277982619201	0.11137224055088357	0.20185075674121689	0.14753459770035482	0.13830447944382784
UD_Arabic	0.6643007856017474	0.4596457321095804	0.0	0.9342856509914961	0.4154358016300933	0.9247239254780203	0.981056457701693	0.48529691230113703	0.5418954031307326	0.9768595703296096	0.9987626918326818	0.5093265145770522	0.7741574542552979	0.9958055590927691	0.6937811347643124	0.8757547429939047	0.8649285640479041	0.9981258667529583	0.6825735399551347	0.9147391461705525	0.988235795027789	0.9214208208492498	0.8860056251703861	0.9948504844981657	0.9977425467191066	0.9990407752498459	0.9989990496861066	0.9660776895684654	0.9909176834977234	0.9928295226124956	0.9954348271663302	0.9954683016873697	0.9961382646637975	0.996831137481529	0.9964245651650149	0.703824646961007	0.6346150735850219	0.15370281142364794	0.994284766368093	0.46675400746502493	0.4804619703050522	0.5858291943380228	0.9964587219664799	0.9982033555439661	0.997876061579683	0.9965965798013907	0.4924091372415019	0.4924091372415019	0.49135483301352156	0.20270591347423306	0.2019084801328812	0.2395094585929075	0.9977240687334007	0.5055719616139467	0.9991271321121091	0.9988423812068689	0.9982820672795643	0.894603236904395	0.054866958880331884	0.9911907544633022	0.23328615475689307	0.992687244631379	0.9966776356949021	0.9933233943131646	0.8167564929548563	0.9578044859705395	0.9986706079296632	0.9685830157462118	0.6587761388365099	0.6035618437991557	0.9303349982904565	0.9600763019172937	0.9927921389371474	0.9641047489495621	0.9984560831865886	0.9983695528641737	0.9990463368168321	0.4934092282791497	0.4843767647984021	0.7066999468650093	0.9975295942537676	0.46513002369172163	0.4939879175398272
UD_Arabic-NYUAD	0.04735424393952892	0.1363911628019968	0.9342856509914961	0.0	0.5278021086603069	0.17774502694884053	0.196859298493819	0.2737045475459774	0.3856426457431822	0.010303043641180731	0.25618411379665773	0.40654056232622393	0.31034650739577985	0.31718905317459734	0.20340922473884337	0.12963604396431538	0.1513257858491045	0.18238146220240437	0.12932075700341072	0.16853692355052663	0.22732380498365956	0.05212560630666141	0.08860130201824346	0.2836955349137572	0.27067756167928003	0.2912815644850846	0.28548228627231775	0.2941192995584805	0.35495186356089403	0.3724824107383491	0.021331824738699212	0.06812653157580217	0.019726501691833653	0.06170704209520583	0.034146460171771476	0.09513496309970915	0.09551232540613597	0.422059260463327	0.2830859396636415	0.30645074564691765	0.2785178116954018	0.3628212925316102	0.09359402219255974	0.19027287338347654	0.1551727194839827	0.04491606080052002	0.26371486494529117	0.26371486494529117	0.26212977934022874	0.5330733778876384	0.3466847761045265	0.30537977649005865	0.1397241248405534	0.2689426167909167	0.3016999046145701	0.2683582068613526	0.20712954987647658	0.014141971428312528	0.6131484028238279	0.20915558868747275	0.41550465239621803	0.10012802108222707	0.10206375565201764	0.010292214113911569	0.13941154096337527	0.22131436141855387	0.24444937096165775	0.1871319421775849	0.2705084562432013	0.15896456398109926	0.11598251050583264	0.07930295189443892	0.005166321468189183	0.0011459592650930883	0.27336727682469353	0.2786088723273398	0.29201019406340245	0.26367809203011927	0.27100163840400926	0.19281867267234976	0.12079052971936699	0.30362347567362324	0.2631943454786363
UD_Basque	0.4367263147289525	0.36037313337175136	0.4154358016300933	0.5278021086603069	0.0	0.7573033259151007	0.8048559282276874	0.08879534734992134	0.47294276445418637	0.5087041719404103	0.8601579361681692	0.42198343650333925	0.7443645878108576	0.6561378375743385	0.6365648851078415	0.6877524804912709	0.701003681573087	0.8015688879489069	0.5616772920118981	0.7448560941515846	0.8288335084406382	0.6298357820271594	0.6515051880764253	0.8781841855878069	0.8685077908898651	0.8859005214792373	0.8819598617157421	0.41788345461885523	0.4328439192567889	0.44116890305652623	0.6252952747810009	0.6907605464387168	0.6217087729926823	0.6836475004389453	0.6470045211460715	0.5368434683637038	0.4843565492926615	0.3096763967358519	0.47517170411772514	0.10061132366802061	0.09292702250154139	0.18095493127534568	0.7192973791574184	0.808559741920172	0.7785576392456313	0.6624398022258146	0.090183135495704	0.090183135495704	0.09094992840572058	0.1003452783387313	0.28140431775622343	0.29671802772083755	0.7646618055047152	0.09670955369564793	0.893775378250641	0.8679208973742107	0.817282526694157	0.5570992895621176	0.29841390862502437	0.4802659766039391	0.42008005630066536	0.7239903219174022	0.7262901770647935	0.5252212469459272	0.38669790764901735	0.8114772326987496	0.8515677115561868	0.7890633470332581	0.665945866523814	0.5316471388469388	0.7060319508127508	0.684490405619123	0.5306298777937554	0.5509804993715797	0.8704903425103323	0.871625678588801	0.8864178976463568	0.09013261305660725	0.09082174337355897	0.6362354619497312	0.746918220819033	0.10010004606976375	0.09048983427483515
UD_Belarusian	0.1355069824574604	0.20058988634203134	0.9247239254780203	0.17774502694884053	0.7573033259151007	0.0	0.002047211269452842	0.37942617068773155	0.13958045791176865	0.26446834233453576	0.010257033074689503	0.17362596873730052	0.030868905091891885	0.07616952748582306	0.027717737491039784	0.005486413135508128	0.003092774419126698	0.00270495980872254	0.04136162068341165	0.00018569486549191438	0.005169127998409739	0.03928206955114444	0.017442856588879785	0.01578294350096643	0.013057086948092822	0.017841377105735523	0.016440916077614887	0.19249461738173923	0.22964868669953076	0.23550664489892903	0.08479023998510604	0.031196727538283175	0.08828667209147056	0.03589026261895756	0.06375971865193086	0.04990147624852337	0.08114718608067661	0.45147938819949307	0.8068882128345916	0.366420171364373	0.3724755669256379	0.3131790616828478	0.017797894032554717	0.0028549067809423567	0.003713559567819491	0.050842449327972106	0.3767685576785518	0.3767685576785518	0.3754334389571501	0.8069612390815359	0.4353945414197924	0.3765546103030245	0.0054950787343209795	0.365057460887819	0.020496185132513722	0.012638222643496566	0.003774905802881756	0.09605280403675909	0.6784551866161888	0.6978395588063528	0.3022894637875535	0.014896212452102708	0.014570651158811065	0.26165139451405994	0.5701794141878899	0.0031267234593681525	0.008231907550570572	0.0010718223067957	0.04267000315565095	0.06275866830740395	0.00709688249704632	0.02174213455943752	0.2297395415732899	0.15835419345524027	0.013674052565520012	0.014839288704800113	0.018021296671967724	0.37683991579646137	0.37567926034425714	0.024648373159690373	0.009126759157408904	0.3664216493268023	0.37616388794344646
UD_Bulgarian	0.1653613566786738	0.2402251396438121	0.981056457701693	0.196859298493819	0.8048559282276874	0.002047211269452842	0.0	0.4190738264138646	0.1588367582361928	0.28463528262612303	0.004437049626879297	0.195225726491694	0.035801570711963104	0.07068435024768271	0.04267007966704783	0.013097456078832836	0.010050361850164169	0.0004975076102842202	0.06150914266798169	0.0032912308006416424	0.0012487624779597972	0.04999787247665444	0.027210119398455967	0.008974578804947009	0.00665583776922718	0.010488359432595074	0.009333793738179774	0.1955018353689144	0.22978485027054651	0.23488016989371474	0.09506241217231293	0.036519537697492055	0.09876668723413973	0.041693397445092595	0.07232946024207476	0.07106895335113306	0.10762197615461255	0.5046575827292834	0.8364823654768367	0.4047940305729153	0.4118214907222095	0.3395146381716937	0.021096005998967993	0.0002297742037840056	0.0030120822970722827	0.058237125729351025	0.41641715110132527	0.41641715110132527	0.4151608052522652	0.8680686565275849	0.489127954489878	0.4276664862963814	0.005705130193655483	0.4031688748695188	0.012705658162707634	0.006278202272473998	0.00030022215324077006	0.11289961724606112	0.7374652672985593	0.7265055691780108	0.34449191535444	0.01792623250409342	0.017261228654956384	0.28075263173750864	0.6065108273475477	0.0011383479847820732	0.002947416165639427	0.0002009504535729345	0.0567118868967067	0.08675984222632105	0.012435770757001197	0.02802961799611514	0.24768818795871694	0.17484610364681907	0.007118626334531308	0.008068187318614584	0.010637506425382637	0.4164384010300636	0.41534521592876106	0.03929601915388359	0.010520905282695336	0.40503244343184	0.41572429967442104
UD_Buryat	0.178275048700004	0.14154535240734223	0.48529691230113703	0.2737045475459774	0.08879534734992134	0.37942617068773155	0.4190738264138646	0.0	0.20447969852214243	0.29632893317689235	0.4667250391907253	0.17766347233917235	0.37916673177509175	0.3308938639870631	0.2911307883165106	0.3257319345430749	0.3349955467345509	0.4170790670290564	0.23741885177742061	0.36946138549800855	0.4394970214996232	0.2951494409283839	0.30230504297213157	0.4832850779334198	0.47449512861258325	0.490357706500577	0.48664033108714133	0.18973279243369034	0.21759578666885504	0.22668027714210404	0.3124407145354381	0.34142048427107274	0.31109635597005403	0.3378140719540129	0.3206804065590798	0.22176597164781442	0.19219370345818843	0.20256841469462872	0.5015752195667256	0.003326169236363863	0.0002055262347836484	0.04593823210008763	0.3583256099128672	0.42268636277927873	0.39928165452332776	0.3273963233900271	0.0001498758572876513	0.0001498758572876513	0.0001879812658320823	0.1878267832537961	0.17424642350219832	0.16199306617210008	0.3890321691413149	0.0004627680436577464	0.49773448824262523	0.4738784323245888	0.4299380255727271	0.2612646811281446	0.28855784288074104	0.45916248701425444	0.22786933778127205	0.36072998945010726	0.3624725775612859	0.30859202071284375	0.32715909276276245	0.42432348173146905	0.4590575539428876	0.4058933988856587	0.32010566285979913	0.22122552964604225	0.34196057766691523	0.3317245610266476	0.29918570164779656	0.28432643167178395	0.476338935281553	0.4777064978782445	0.4908443481939375	0.0001541133322646715	1.8765121008401664e-05	0.28980914414619896	0.3765237814219561	0.002919005065011193	0.00016089034055555285
UD_Cantonese	0.2202347043016014	0.18133935669609913	0.5418954031307326	0.3856426457431822	0.47294276445418637	0.13958045791176865	0.1588367582361928	0.20447969852214243	0.0	0.4881445221460904	0.15719792064833793	0.00269533362202401	0.06384489082582168	0.11118842149255304	0.0710752052000414	0.14053891827598886	0.12738970629727053	0.17030305657388378	0.10287330297700681	0.1389443849634392	0.1543574951469141	0.21634172113201477	0.16853069214712413	0.15350528055479795	0.15475680171748452	0.15515957701830807	0.15544571399640672	0.16648774568566294	0.18431077947616736	0.18421386519546867	0.3040504839420187	0.23313047726948766	0.30812662551641434	0.2404667567957255	0.27827356432342343	0.12859945034493292	0.13519626351445657	0.24784291227048705	0.9929783032098003	0.16861828534405698	0.19347789736592202	0.11587241116724822	0.21181762441601482	0.1683782305332323	0.1793852687391374	0.2613890584647087	0.20931929723733766	0.20931929723733766	0.20883356737263936	0.5463194951912447	0.2715655369932575	0.23549222034257777	0.18572805477055643	0.19562392054520605	0.15517669555899283	0.15565312970940315	0.16228512499950376	0.27838401278917413	0.3938978821392589	0.9034300306165441	0.12078646794367687	0.20528769110362466	0.20519110483024294	0.4942351365687683	0.7185022634313109	0.14357569477894128	0.158543418890029	0.15520983995776316	0.053791181870075366	0.08594403827193398	0.1677086362220389	0.2056297969910309	0.4589074630295962	0.3745639241848241	0.15475249477653163	0.1532759646234093	0.15513859117219297	0.20955990945580794	0.20220748543006317	0.07587767390795874	0.19504764553775233	0.17002379850126215	0.20925303331879608
UD_Catalan	0.08672429701389262	0.18449472247422505	0.9768595703296096	0.010303043641180731	0.5087041719404103	0.26446834233453576	0.28463528262612303	0.29632893317689235	0.4881445221460904	0.0	0.3525348466828946	0.5052315740559088	0.4197150038567733	0.40398589840888166	0.29693917534786707	0.2078007148175881	0.23456051874676065	0.2666224673638701	0.2060143416667981	0.25387083913734965	0.3197407455750819	0.10582221491713861	0.15573240579095127	0.3840619753640018	0.36908808610875854	0.3924331234239926	0.38588150130653787	0.3462753584459757	0.40800838717945276	0.4272653912205261	0.0556284639584087	0.12408113690592038	0.052834743737253276	0.11527091912904497	0.07586082140608408	0.162444547172942	0.1580183040461718	0.4755491784395457	0.19372785209928123	0.33877536490283366	0.3038790012170083	0.41264790580497757	0.15752910433793355	0.27597545794251044	0.234053514160816	0.09174806348095998	0.28493392661086714	0.28493392661086714	0.2834577952291796	0.5168496281144186	0.38799853236932325	0.3515752545663462	0.2152669598310042	0.29319372514157827	0.4041903722399487	0.36640319464795623	0.29567027305613836	0.04812553614187687	0.6519737295761028	0.13241609017514888	0.5004524381734126	0.16612910496274247	0.16831811992951962	0.00019485716535161401	0.08652054056017755	0.31430604794495487	0.33907926874645755	0.2737396041378535	0.37443491167675846	0.2390675852055596	0.18915537065210863	0.14093347005667078	0.0016176813028948578	0.015100047984163534	0.3721026402971014	0.37799399666559375	0.39325590668549704	0.2848226646789518	0.294118916150213	0.28459847163843544	0.19189623496816244	0.3355418611809382	0.28439044044673334
