langue	svo	sov	ovs	osv	vos	vso
Afrikaans	297	1144	6	21	0	25
Ancient	5267	3794	1952	1900	1202	1276
Arabic	6493	27	224	80	4179	14435
Basque	951	1795	721	92	24	84
Belarusian	234	12	45	9	4	1
Bulgarian	5354	396	754	51	122	36
Buryat	20	172	1	13	0	0
Cantonese	21	0	0	0	0	1
Catalan	14759	3883	3352	516	253	148
Chinese	7135	294	0	330	0	0
Coptic	503	0	0	0	12	41
Croatian	5100	504	510	402	143	109
Czech	36755	5601	10306	2805	4699	4550
Danish	3051	137	350	244	24	471
Dutch	4285	3436	521	550	86	1593
English	15432	10	100	775	49	23
Estonian	2036	407	194	145	99	510
Finnish	9926	302	523	698	56	195
French	26720	3717	684	1876	96	191
Galician	3365	680	326	161	105	234
German	3291	2879	493	593	391	1773
Gothic	1170	682	281	122	254	254
Greek	6656	3856	2146	1913	1253	1330
Hebrew	3098	1	179	37	151	624
Hindi	4094	6608	23	682	0	1
Hungarian	626	283	150	96	49	38
Indonesian	3830	27	1	158	5	6
Irish	127	0	79	0	14	756
Italian	7875	818	508	208	186	83
Japanese	0	2156	0	581	0	0
Kazakh	0	200	8	30	0	0
Korean	0	1432	0	77	0	0
Kurmanji	71	170	0	4	0	1
Latin	8122	5774	1248	1646	1211	1256
Latvian	2495	408	344	216	53	39
Lithuanian	106	10	37	6	6	1
Marathi	6	127	2	13	0	0
Naija	668	1	0	5	1	0
NorthSami	935	44	23	81	8	54
Norwegian	10560	59	244	708	146	1630
OldChurchSlavonic	1470	466	242	126	369	344
OldFrench	3598	3838	756	914	134	452
Persian	1822	1716	9	87	1	6
Polish	1888	150	258	87	134	118
Portuguese	13355	661	838	505	366	150
Romanian	4792	521	409	83	132	190
Russian	21458	1157	2708	1195	1075	387
Sanskrit	8	39	1	8	1	1
Serbian	2704	41	166	100	22	51
Slovak	1784	540	741	188	211	128
Slovenian	2133	465	615	328	92	146
Spanish	20689	5714	4733	620	506	239
Swedish	6919	10	178	309	108	1099
Tamil	0	136	10	171	0	0
Telugu	4	257	3	72	0	0
Turkish	31	1100	113	83	1	8
Ukrainian	2051	143	214	165	81	37
UpperSorbian	147	39	11	5	4	34
Urdu	1234	2386	4	199	4	1
Uyghur	0	293	36	27	0	0
Vietnamese	2181	49	0	87	16	1
