treebank	svo	sov	ovs	osv	vos	vso
UD_Afrikaans	297	1144	6	19	0	25
UD_Ancient_Greek	2287	2320	1317	1206	457	489
UD_Ancient_Greek-PROIEL	2980	1474	248	225	745	787
UD_Arabic-PUD	157	1	29	1	37	298
UD_Arabic	3198	4	46	1	1439	5519
UD_Arabic-NYUAD	3138	22	143	73	2703	8618
UD_Basque	951	1795	721	92	24	84
UD_Belarusian	234	12	45	9	4	1
UD_Bulgarian	5354	396	692	50	122	36
UD_Buryat	20	172	1	12	0	0
UD_Cantonese	21	0	0	0	0	1
UD_Catalan	14759	3883	3352	516	253	148
UD_Chinese-HK	69	0	0	0	0	0
UD_Chinese-CFL	359	2	0	1	0	0
UD_Chinese	5525	266	0	251	0	0
UD_Chinese-PUD	1182	26	0	59	0	0
UD_Coptic	503	0	0	0	12	41
UD_Croatian	5100	504	496	401	143	109
UD_Czech-CLTT	485	16	63	25	15	66
UD_Czech-PUD	534	66	68	25	29	42
UD_Czech	27062	4031	7935	2030	3493	3395
UD_Czech-FicTree	2052	862	756	383	370	225
UD_Czech-CAC	6622	626	1383	332	792	822
UD_Danish	3051	137	350	244	24	471
UD_Dutch-LassySmall	979	624	24	65	27	540
UD_Dutch	3306	2812	496	435	59	1053
UD_English-PUD	742	0	3	18	5	1
UD_English-LinES	3011	6	53	193	11	8
UD_English-ParTUT	1515	4	0	61	5	1
UD_English	10164	0	44	490	28	13
UD_Estonian	2036	407	193	145	99	510
UD_Finnish	5244	100	254	226	43	88
UD_Finnish-FTB	4089	201	241	451	13	103
UD_Finnish-PUD	593	1	27	15	0	4
UD_French-Sequoia	1915	163	31	103	9	11
UD_French	10157	2064	238	414	18	70
UD_French-PUD	813	128	11	18	0	1
UD_French-FTB	13099	1213	382	1250	68	103
UD_French-ParTUT	736	149	18	65	1	6
UD_Galician-TreeGal	499	56	50	23	15	9
UD_Galician	2866	624	276	138	90	225
UD_German	2977	2558	438	501	371	1650
UD_German-PUD	314	321	44	35	20	123
UD_Gothic	1170	682	197	54	254	254
UD_Ancient_Greek	2287	2320	1317	1206	457	489
UD_Ancient_Greek-PROIEL	2980	1474	248	225	745	787
UD_Greek	1389	62	194	13	51	54
UD_Hebrew	3098	1	179	37	151	624
UD_Hindi	3977	6018	21	620	0	1
UD_Hindi-PUD	117	590	2	22	0	0
UD_Hungarian	626	283	108	94	49	38
UD_Indonesian	3830	27	0	131	5	6
UD_Irish	127	0	77	0	14	756
UD_Italian-ParTUT	1090	78	11	35	13	9
UD_Italian	5227	484	340	133	134	48
UD_Italian-PoSTWITA	978	231	129	26	32	25
UD_Italian-PUD	580	25	4	11	7	1
UD_Japanese-PUD	0	474	0	90	0	0
UD_Japanese	0	1682	0	491	0	0
UD_Kazakh	0	200	8	30	0	0
UD_Korean	0	1432	0	72	0	0
UD_Kurmanji	71	170	0	4	0	1
UD_Latin-PROIEL	2438	2289	61	185	550	495
UD_Latin-ITTB	5407	2921	598	478	579	664
UD_Latin	277	564	128	225	82	97
UD_Latvian	2495	408	322	210	53	39
UD_Lithuanian	106	10	37	6	6	1
UD_Marathi	6	127	2	13	0	0
UD_Naija	668	1	0	5	1	0
UD_North_Sami	935	44	23	81	8	54
UD_Norwegian-NynorskLIA	267	6	35	45	2	134
UD_Norwegian-Nynorsk	10293	53	209	663	144	1496
UD_Old_Church_Slavonic	1470	466	168	55	369	344
UD_Old_French-SRCMF	3598	3838	756	914	134	452
UD_Persian	1822	1716	9	84	1	6
UD_Polish	1888	150	258	87	134	118
UD_Portuguese	5128	258	320	269	93	113
UD_Portuguese-BR	7599	383	499	199	272	36
UD_Portuguese-PUD	628	20	1	32	1	1
UD_Romanian	4580	420	265	70	91	102
UD_Romanian-Nonstandard	212	101	90	10	41	88
UD_Russian-PUD	667	6	29	14	5	8
UD_Russian	1692	25	171	62	42	19
UD_Russian-SynTagRus	19099	1126	2358	1110	1028	360
UD_Sanskrit	8	39	1	7	1	1
UD_Serbian	2704	41	166	100	22	51
UD_Slovak	1784	540	734	188	211	128
UD_Slovenian-SST	234	88	63	67	11	28
UD_Slovenian	1899	377	552	261	81	118
UD_Spanish-PUD	518	34	21	24	4	5
UD_Spanish-AnCora	15442	3766	3300	505	337	179
UD_Spanish	4729	1914	1396	89	165	55
UD_Swedish_Sign_Language	28	0	1	4	2	5
UD_Swedish-PUD	642	0	1	20	13	135
UD_Swedish	3388	2	86	165	59	509
UD_Swedish-LinES	2861	8	85	117	34	450
UD_Tamil	0	136	10	171	0	0
UD_Telugu	4	257	3	68	0	0
UD_Turkish-PUD	0	376	3	29	0	0
UD_Turkish	31	724	110	54	1	8
UD_Ukrainian	2051	143	187	162	81	37
UD_Upper_Sorbian	147	39	11	5	4	34
UD_Urdu	1234	2386	4	199	4	1
UD_Uyghur	0	293	36	27	0	0
UD_Vietnamese	2181	49	0	87	16	1
