	UD_Afrikaans	UD_Ancient_Greek	UD_Ancient_Greek-PROIEL	UD_Arabic	UD_Arabic-NYUAD	UD_Arabic-PUD	UD_Basque	UD_Belarusian	UD_Bulgarian	UD_Buryat	UD_Cantonese	UD_Catalan	UD_Chinese	UD_Chinese-CFL	UD_Chinese-HK	UD_Chinese-PUD	UD_Coptic	UD_Croatian	UD_Czech	UD_Czech-CAC	UD_Czech-CLTT	UD_Czech-FicTree	UD_Czech-PUD	UD_Danish	UD_Dutch	UD_Dutch-LassySmall	UD_English	UD_English-LinES	UD_English-PUD	UD_English-ParTUT	UD_Estonian	UD_Finnish	UD_Finnish-FTB	UD_Finnish-PUD	UD_French	UD_French-FTB	UD_French-PUD	UD_French-ParTUT	UD_French-Sequoia	UD_Galician	UD_Galician-TreeGal	UD_German	UD_German-PUD	UD_Gothic	UD_Greek	UD_Hebrew	UD_Hindi	UD_Hindi-PUD	UD_Hungarian	UD_Indonesian	UD_Irish	UD_Italian	UD_Italian-PUD	UD_Italian-ParTUT	UD_Italian-PoSTWITA	UD_Japanese	UD_Japanese-PUD	UD_Kazakh	UD_Korean	UD_Kurmanji	UD_Latin	UD_Latin-ITTB	UD_Latin-PROIEL	UD_Latvian	UD_Lithuanian	UD_Marathi	UD_Naija	UD_North_Sami	UD_Norwegian-Nynorsk	UD_Norwegian-NynorskLIA	UD_Old_Church_Slavonic	UD_Old_French-SRCMF	UD_Persian	UD_Polish	UD_Portuguese	UD_Portuguese-BR	UD_Portuguese-PUD	UD_Romanian	UD_Romanian-Nonstandard	UD_Russian	UD_Russian-PUD	UD_Russian-SynTagRus	UD_Sanskrit	UD_Serbian	UD_Slovak	UD_Slovenian	UD_Slovenian-SST	UD_Spanish	UD_Spanish-AnCora	UD_Spanish-PUD	UD_Swedish	UD_Swedish-LinES	UD_Swedish-PUD	UD_Swedish_Sign_Language	UD_Tamil	UD_Telugu	UD_Turkish	UD_Turkish-PUD	UD_Ukrainian	UD_Upper_Sorbian	UD_Urdu	UD_Uyghur	UD_Vietnamese
UD_Afrikaans	0.0	0.24351908705809178	0.37478149145873574	0.8586754838006868	0.8960934156248925	0.8621884130871593	0.0818263639723098	0.7035779847407101	0.6799272698627754	0.01114840703656883	0.7480853243073637	0.5208057020217042	0.7021456083755548	0.7433766494018506	0.7488067358333539	0.7271272372808795	0.747990513223179	0.6555398967644422	0.6257606508679534	0.6666916878133254	0.7181176878998303	0.4364163377816159	0.633914699493501	0.7068194318273202	0.2064105415365879	0.3277017767698508	0.7482788822762627	0.7462661702204663	0.7484498929951995	0.745799434882175	0.5731763278439943	0.7297262865299582	0.7014197955166119	0.7467443538269577	0.56073398282087	0.6605068530925227	0.6010692186846728	0.5619139409519548	0.6671182199077983	0.549871200051508	0.6431989232292528	0.244463311524877	0.1630677403118207	0.32127435200259125	0.7074910462510989	0.7494994405159199	0.05637406211675888	0.0021287205069114856	0.3840556283076021	0.7415611422258137	0.937349192440456	0.6606810261185907	0.7070786876434348	0.6798598011275065	0.5358643920200783	0.06670198972302266	0.04642645248599786	0.04131076490434815	0.03285449698760956	0.010157266908483065	0.10089140215935322	0.32711040897066623	0.1718874656681163	0.5983948911535739	0.6761548085545261	0.0251442999927739	0.7472456590795733	0.702571789260585	0.7429222383515212	0.7481620053030891	0.49198048680703155	0.14187833829859042	0.1536441620933372	0.6749865083632391	0.699996352086695	0.7005073197374666	0.7176425302248051	0.6612433604108536	0.4311423502327294	0.7348259693101928	0.7396313275554335	0.6936626793177307	0.014255961031737652	0.7336011699729525	0.5165270651692304	0.5817034101593159	0.455696865517901	0.4238449215976692	0.5351806926464944	0.6854397135383008	0.7473966562100609	0.7454369794411104	0.7494998402401726	0.7497898159264687	0.38556727688988346	0.05684849487378674	0.03415020464507701	0.03406028593561505	0.6825953235331588	0.5170376914478985	0.026646389601407527	0.04157419849284694	0.7267117317739344
UD_Ancient_Greek	0.24351908705809178	0.0	0.12835850718755937	0.5648500278161575	0.6411657471728633	0.5611455695730128	0.08575818330511298	0.295074687036727	0.3048773407367128	0.29708949745026647	0.38867586686028965	0.18700152320451358	0.3514677713837955	0.3898497723184019	0.3941517572044294	0.36562888394011006	0.38292610131682614	0.2777622804205504	0.20088355365628285	0.2478466270943802	0.3045219212171437	0.07750156126999641	0.2577676872163497	0.2958604661703118	0.0726896387991448	0.15871823682341957	0.37747195539528466	0.3669260387308997	0.38420131433142624	0.37968871984330466	0.22216169535259978	0.35019320084906547	0.3109056830705216	0.36914542990849486	0.26283910187719806	0.30140474331085554	0.29436371175745946	0.2500806569050179	0.3212340129575434	0.2226836545117502	0.2788307366323335	0.08741785952804682	0.07878863975454886	0.09765772289936703	0.3138552332427931	0.3528389188471115	0.1279570070444176	0.2669498656673013	0.10324750884020795	0.3789106484475473	0.7359971971115145	0.30702755368454104	0.35828512302381377	0.3360215470578536	0.2162942274582682	0.3205079659256551	0.3366013125540719	0.33153915570035586	0.37014209286007715	0.19196067917812198	0.054775904734437164	0.1066134667824421	0.09783344741665156	0.2364310936600007	0.23878675903499658	0.32296236242617915	0.39067758828951116	0.32507203429093934	0.3511543206334147	0.31084727898159614	0.17750027503637356	0.04511668197805574	0.125756558445957	0.2791163391923588	0.32302359646664924	0.3299078163264192	0.3585044453544787	0.3118500998432202	0.10486377669808611	0.33777635131750927	0.365115853647489	0.29618285279425427	0.2177020411937619	0.3500495778756174	0.12636027576209696	0.17288277763415938	0.08906700821235403	0.13392658305345295	0.19692255429866257	0.3254575575532829	0.3560862447442461	0.3559663305935187	0.3682088170455958	0.3238257243261241	0.3521099528399484	0.3112046499750213	0.29178934529387557	0.3599066012689395	0.29461109655797124	0.21109210896196862	0.15368649350948482	0.3210636634019185	0.36733204553683374
UD_Ancient_Greek-PROIEL	0.37478149145873574	0.12835850718755937	0.0	0.34858989732352186	0.457268386645138	0.38155644090894103	0.24016706572636382	0.12740686048412508	0.11461870595894963	0.4816195210669607	0.1419719440940458	0.07226168548542533	0.13045924447427237	0.1491686324262118	0.15166821217386772	0.14051871200705823	0.13147371721709844	0.0994838747636011	0.07358556492946788	0.07911221195427676	0.10605066947569097	0.046010077421359874	0.07820674065473865	0.10350377333010685	0.048524322678423104	0.04493804505112664	0.1484048172047816	0.14600864157672433	0.14837548933557576	0.14783179122661105	0.04536361221300256	0.1341134902667681	0.12167257125455266	0.14579323994632287	0.08003537772205382	0.11002519563413471	0.09441191614355993	0.07970176429812481	0.11370146993561558	0.05686961842869265	0.09580881289252996	0.049745290500295636	0.066409599086102	0.0063832029177933736	0.1167128827054914	0.1116139757258171	0.17949606435179	0.42120139156899705	0.031421066912807105	0.1464135897814146	0.6294764777969353	0.1054239188689613	0.12998334802465938	0.11734072202617807	0.06363407496047657	0.5792516154276184	0.5758059560734448	0.5730710128456279	0.5777018714294306	0.28343898438513493	0.22728232976816487	0.01573031164015526	0.04610009766628653	0.08369500696449439	0.1276320948033679	0.5356408504164563	0.15026883931134805	0.11593236056340606	0.11974875250902439	0.12943859652959	0.011529588153512571	0.09403427227929173	0.09224691986623001	0.09288378313458978	0.11840133972714673	0.11943747049541475	0.13579619202944493	0.104669536174818	0.044954048709651584	0.13361141365807416	0.140324642133285	0.11006128057968079	0.40418543586177014	0.13515112720568145	0.07391186960035634	0.08187439051030176	0.05704452664272941	0.06165701547211877	0.0731748480723029	0.11812691903066974	0.12046997291201211	0.12001224489105666	0.11804209604543947	0.11056202727629394	0.6857762875461979	0.5644804649366804	0.5328869699792768	0.5761576732824344	0.10794790496887574	0.036623742375419654	0.234426758397703	0.57084413089848	0.1389524279253571
UD_Arabic	0.8586754838006868	0.5648500278161575	0.34858989732352186	0.0	0.016602039513051947	0.01015253910634395	0.746459073102692	0.5121768434971533	0.5049130487183292	0.9429919354270853	0.47134790267684523	0.5251647410497396	0.5119711832975757	0.5109451817943178	0.5109395291525283	0.5116444267200624	0.43891396153258677	0.49268945208539605	0.41573743025878884	0.4031055760107901	0.4002425391614348	0.47089201808142045	0.4434188390529834	0.391741885650441	0.44100248234195805	0.2662657001372867	0.5097921434707415	0.5088481190236673	0.5084472431730263	0.5100498511941186	0.32698364980711747	0.4958504219061084	0.4932345674866421	0.505603333118295	0.514889415311623	0.5074488744457237	0.5158318670781419	0.5152905731814135	0.5074511767903904	0.4546971627949613	0.49484322159589744	0.32146824004788543	0.44121107298458195	0.40371280974581203	0.4754095934905703	0.3448414580622373	0.7306961975046553	0.9043047983244159	0.5032535365078181	0.5096204577702551	0.0866589826071229	0.5005613741796053	0.5073448737373343	0.5028307095394979	0.4996604898455188	0.9993699464589726	0.9993705021576502	0.9990948100123612	0.999381384468012	0.8064223633382139	0.6576805945545311	0.46634149477612985	0.494835790103191	0.5045703622651893	0.5198850839782769	0.9763096334646225	0.5106228400742339	0.46376652571063337	0.3928508257284977	0.19665991574725994	0.33097002432720835	0.5975878097723554	0.6416250315967356	0.45135612616426346	0.49041187066040204	0.5007695801574947	0.5100921980761661	0.4905756717835408	0.3042974178643554	0.49840334986550017	0.49950552821728145	0.48871222412179205	0.8762103521301458	0.49424520346387923	0.49067335085751895	0.4839094117628159	0.4740226266605606	0.5453260614274587	0.5196996059672874	0.5028080343580101	0.3879930208214192	0.38375468391328504	0.3437854131716672	0.36266361086965504	0.9991784386481144	0.9919329569836443	0.9682203200055024	0.9993224036559223	0.49171095286506816	0.3504015825401272	0.774744969795941	0.9985271449203299	0.5094453739434421
UD_Arabic-NYUAD	0.8960934156248925	0.6411657471728633	0.457268386645138	0.016602039513051947	0.0	0.026819049221569635	0.8100450235223793	0.6667166526741817	0.6610301612454462	0.9592970352523025	0.629363764162479	0.6731363074441226	0.6721175659613302	0.6718298355132062	0.6718575499180958	0.6719136400158814	0.5931223401178819	0.6470615225213383	0.5488684200127126	0.5415029851666444	0.5470585831830275	0.5881627890369314	0.5917306036205412	0.5384587874252857	0.5420352760854152	0.3623540678963755	0.6698815069906539	0.6684092222236024	0.6686007170843888	0.6702865879865632	0.4611462033224203	0.6541687382432404	0.6496822761933381	0.665362568372116	0.6711030382473462	0.6650307309662071	0.6741381089212987	0.6706658170768864	0.6662443151409648	0.6028483311958944	0.6495234861560734	0.4023720048217291	0.5287507568699896	0.5129962988818062	0.6286924613179622	0.48737186767584284	0.8170146232991262	0.9336298311679794	0.6359138723576581	0.6700013036643311	0.055148248705089276	0.6573787838281524	0.6669470830860283	0.6615768199749708	0.6498513517919784	0.9956525213175971	0.9963158423872409	0.9960041197358521	0.9973190191983969	0.8663917022386503	0.7014288996826892	0.5914536406087291	0.5892377627182117	0.6574733332458967	0.6638148745568109	0.9813005316302544	0.6713837745184186	0.6188626277319018	0.5420106113592426	0.3102485908885705	0.44815067270567344	0.6946508025524336	0.7571021409799614	0.600040041582134	0.6471818145539912	0.657683037684955	0.670082726633517	0.6472432528371606	0.39904101228537725	0.6550487893141308	0.6585443904364457	0.6417438636643609	0.9019498816872833	0.6523301269202264	0.6181540965249231	0.6248385006243752	0.6016610936726641	0.6837318403057315	0.6684939579427857	0.6612598819122304	0.5367500189713039	0.5323630521746819	0.4879160826549773	0.5034755319986035	0.9919175563707849	0.9907188986881302	0.9709014496776878	0.9970003750568014	0.646059769927807	0.48643446639183596	0.8462910868564848	0.9952148112021613	0.6693698178370943
UD_Arabic-PUD	0.8621884130871593	0.5611455695730128	0.38155644090894103	0.01015253910634395	0.026819049221569635	0.0	0.7303430532638914	0.5258153332026747	0.5241291556178969	0.9432010622510034	0.49720982918398404	0.53510507421389	0.5390986022739266	0.5383494445089598	0.5383650607881689	0.5388391732383784	0.4662692328652619	0.5142033826306585	0.42904724858881715	0.4223413212972297	0.4160283636060269	0.48244938640239665	0.46354562155762324	0.4054579353373271	0.4447102378898241	0.2732384937839353	0.5369779756920711	0.5349761424072254	0.5361861644247515	0.5376803178650873	0.3427554488293899	0.5196352861391371	0.5149669809228509	0.5291424592018756	0.5393431693870816	0.5322060597764635	0.5414073287843723	0.5393851043114802	0.5334643275851212	0.47427478968257575	0.5165234419003288	0.32797467764451527	0.44672138118037463	0.4284427443970491	0.49438038930315564	0.3661569221647475	0.743355606396128	0.9069914719242086	0.52032359630244	0.5370122622579413	0.05377213720660945	0.5249952076896574	0.535331205630936	0.530183326693358	0.5182688307646333	0.9963535097396439	0.9965627666068041	0.9932881874982171	0.9969157073474155	0.8146055543844247	0.6600540469292453	0.48814681068157584	0.5244209387302796	0.5226857809732095	0.5252617307988942	0.9737756686065107	0.5381897580983412	0.48784290932758023	0.4150838007991138	0.1978104468324785	0.3652249340422221	0.6028326442718621	0.6595753846370692	0.4732691037629587	0.5138829082855778	0.5265835631897452	0.5372537347642619	0.514557594408024	0.3051744660260859	0.5200506786971175	0.5238659194874018	0.5112768614885181	0.8789263385655366	0.5169613621561172	0.49514979472857135	0.49005183666908725	0.47931540635510617	0.5514401561491257	0.5312028753038405	0.5272275387760259	0.4101080923729541	0.4047042854876368	0.36597966456222397	0.38834821086945503	0.991974143654095	0.9884991803219738	0.9549703493140779	0.996164035108322	0.5151852583849986	0.36585193075810696	0.785077745522285	0.9864704550047394	0.537478784113953
UD_Basque	0.0818263639723098	0.08575818330511298	0.24016706572636382	0.746459073102692	0.8100450235223793	0.7303430532638914	0.0	0.46175851461283035	0.4601395961815745	0.12062920622204132	0.5582175189669287	0.30430413144870905	0.518664063680917	0.5548281252821365	0.559569410023447	0.539840776213014	0.5577255090521478	0.44775911131393153	0.3726176015317705	0.4267571425561676	0.4910394864981885	0.21426897493443664	0.42091279515438995	0.48599028590452464	0.10973561518546793	0.23433463213649075	0.5565107125255302	0.5501584507025696	0.5572027723430175	0.5559604847385116	0.38407263800971214	0.5261265226874519	0.49798254842599676	0.5422554981955987	0.39385088895236686	0.4733022432042542	0.43038443769708745	0.39382050064047347	0.483530740434587	0.3617335453243865	0.4370862283754151	0.15069642315315024	0.09172458992961763	0.17858700888100143	0.4798263671465751	0.541640946934212	0.06245039253184326	0.09684062960464213	0.21495293581199937	0.5524499994414891	0.8556774566678617	0.46294541105119025	0.5210028329412065	0.49651440113242507	0.34114009087067054	0.19005908366580515	0.17533676772334128	0.15901894830863272	0.16760227135444417	0.0622697483376633	0.06289536291020859	0.19078511526924968	0.11669226240917308	0.3914805794568166	0.40096595645097455	0.14379497033665645	0.5580027538085082	0.5095584194242722	0.5458007110515815	0.5350945644818048	0.31944382039626207	0.06054103510493247	0.1072088731818871	0.4524914943013957	0.4961248503487792	0.49626767330310084	0.5311596740439868	0.4657076085179461	0.21526081119543916	0.5142964189041568	0.5367338482123565	0.47217366678418904	0.09474229716864113	0.5254370844571906	0.2624747838925756	0.3362930894277183	0.24901557597048263	0.21632822731980872	0.3188448799146044	0.49112755570896605	0.5482996490926877	0.5455250075125188	0.5592536531266968	0.546918894842413	0.43450719016613293	0.1752008024751861	0.10901048774978817	0.16524829388157047	0.4722487629329807	0.3449832371869338	0.058173370268354785	0.13389529576057768	0.539588328964495
UD_Belarusian	0.7035779847407101	0.295074687036727	0.12740686048412508	0.5121768434971533	0.6667166526741817	0.5258153332026747	0.46175851461283035	0.0	0.002564643092173191	0.8336040175305431	0.020989484608672004	0.020628014788506177	0.018096829471192066	0.01971361180674891	0.02007953790882977	0.01855189774406596	0.022856399214089773	0.006415904433144326	0.02094710396083832	0.012565856926751828	0.0105527508531581	0.0836495058672505	0.00788601077311979	0.014565488483460842	0.2256367817883218	0.22000551727234086	0.01854883871170354	0.0163568528275555	0.018604723269095347	0.019174987795399723	0.043021227373024606	0.010590636431632272	0.01138751656069159	0.011796422063424017	0.024867061614366692	0.015339310731486644	0.02116198382977308	0.025710757419728836	0.015753482600257218	0.020207044451236333	0.006073538180175642	0.26935495137277854	0.28782704653963953	0.13464649417653662	0.002505029624193078	0.029341724008428605	0.41617579135526306	0.7582539409235043	0.07376400116484017	0.019007799233851652	0.8152546250156353	0.008751809752176265	0.016875493505247086	0.016311396574336	0.01814300247352474	0.9411997262034837	0.9435991595640277	0.9373073801614049	0.9479184682496864	0.5752470004228024	0.5166551069898317	0.10662843115413079	0.2613983977553259	0.0089899327798455	0.012052256614825785	0.8972899198019346	0.01972678530385652	0.01616155111663986	0.025269476559467763	0.10969616070695132	0.07772834354513214	0.27962764606837	0.2506678335886764	0.004926950466581759	0.008360311658313191	0.007941890857739886	0.01800023995203548	0.009922074288487459	0.14289848871728117	0.00465813416663885	0.011757052167330362	0.0032342875104725	0.7461084905929287	0.009003623129468341	0.05048578005719917	0.019447524793924975	0.07330230692902362	0.055388810662128196	0.01707521163721759	0.01129604500494541	0.025050435073338928	0.025226349944022286	0.039057727681906296	0.03395744078450025	0.9306699480108767	0.924921332365551	0.8781287604863585	0.9455008128238382	0.006207365824876687	0.05039489806079456	0.5034682946518494	0.9240117723055323	0.018376977596830435
UD_Bulgarian	0.6799272698627754	0.3048773407367128	0.11461870595894963	0.5049130487183292	0.6610301612454462	0.5241291556178969	0.4601395961815745	0.002564643092173191	0.0	0.8122268912892748	0.0120249502700146	0.020408762165202043	0.009449357172549022	0.01080806428749892	0.011222026128087426	0.010623221668937588	0.013693395940346242	0.003259949152577213	0.027108853903159535	0.014558604904253203	0.00978665713458915	0.09032396080231986	0.004813228836366701	0.013511816884812067	0.21365485042754073	0.20353133908679022	0.011315110645323867	0.010330920260157805	0.010643034536395257	0.011388465890407429	0.03682642700184413	0.005384758807039924	0.008068758842943113	0.0063723421959737125	0.014144656288867852	0.008857706257558107	0.01028717275805302	0.01641645180238982	0.007462573529514072	0.013424371659148226	0.0018727813469012755	0.2577296971796138	0.2731698739352123	0.12435113414213617	0.0010725809750612436	0.023673536646507398	0.3949035665394285	0.7353448882287802	0.0692612532877751	0.01095578249163176	0.8173357542075517	0.002319282737499373	0.007926447132329484	0.007282144546216007	0.012591124768907336	0.9272090917841765	0.9264278008567295	0.9213121205494123	0.9264951991674597	0.5513302824438578	0.5138984754939717	0.0954636933967401	0.24116772644351636	0.006514146266616838	0.022755042613332388	0.8779829208405859	0.011039618572082799	0.01003460573313586	0.01900064284043379	0.1115357666581257	0.06859376053402344	0.2704437948512125	0.22970918262491924	0.003315178769261129	0.003494040865170911	0.0024644380271634514	0.009961960151915084	0.002786449307542682	0.14697810192393446	0.002476997159778782	0.0058626720099973495	0.0018294232817149814	0.7285200067717871	0.004494285379680774	0.06043713141904139	0.026670312733006685	0.07892996100251448	0.0554692764417567	0.016408618231039007	0.004672643187769054	0.01871580282144436	0.018900825390805065	0.030734298818686834	0.03057642029756147	0.9414624432989728	0.9106336744549872	0.8663489381699632	0.9253588065984328	0.00328987581034923	0.04085398288356934	0.48132502024233725	0.9113528866491316	0.010105835478333436
UD_Buryat	0.01114840703656883	0.29708949745026647	0.4816195210669607	0.9429919354270853	0.9592970352523025	0.9432010622510034	0.12062920622204132	0.8336040175305431	0.8122268912892748	0.0	0.8849078250996	0.6416495591631894	0.8342919670251043	0.8790667683977121	0.8847774089955495	0.8597383314175506	0.8851907350554588	0.7837186542309278	0.7480868616543095	0.7949490876502264	0.8507383231406969	0.5367182089667282	0.7633480953675298	0.837739942544708	0.29117087207227244	0.4263283442200365	0.8815587956306133	0.8785395821170517	0.8831151233877561	0.879476296676541	0.6986660808725029	0.8629591943570445	0.8296880873039255	0.8812591631087623	0.6872006429695771	0.7882137731161645	0.7305664032142242	0.6856043546629914	0.7976764979023298	0.6757007416062076	0.7727428379473321	0.32608504777908787	0.239573659826252	0.4240550455646648	0.8410263221785927	0.8859172208191345	0.10710768966097906	0.0037242052079292653	0.4894498876101908	0.8755033839090801	0.9804343209931543	0.7923572031718904	0.8409065944728222	0.812195936534198	0.6607231956534849	0.029413106726679628	0.01358277252155804	0.010339648619335451	0.006864265236671163	0.039962668234786225	0.12188702593730338	0.4318578723114239	0.2531113391739932	0.7231690423431418	0.7987372821360714	0.0029140803206463284	0.8827800839564528	0.833157066893826	0.8766920994854142	0.8684314993486222	0.6103747798308562	0.2084026464252089	0.23483439503694226	0.8055513323239081	0.8317747934909033	0.8333802065050463	0.8499589283982787	0.7938411544947465	0.5339569827800932	0.8678452665477406	0.8743260903633212	0.8238465661687308	0.00995364094073281	0.8672257738310905	0.6261334326579966	0.6984886274610883	0.5555033404150755	0.5360321656470324	0.6574532646953045	0.817053261052776	0.8821946050286633	0.8806350361607457	0.8852029812852826	0.8782172188679641	0.32952635216535253	0.022741386545873432	0.013108195033569081	0.006689225795723286	0.811697616150195	0.6418973334101055	0.06433647515474628	0.013573270176160834	0.8599075605844709
